Country Name,Country Code,Indicator Name,Indicator Code,Region,IncomeGroup,Year,Total Access to Electricity
Philippines,PHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2002,76.78
Palau,PLW,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Upper middle income,2002,98.28
Papua New Guinea,PNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2002,12.18
Poland,POL,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2002,100.0
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,26.73
Puerto Rico,PRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2002,100.0
"Korea, Dem. People's Rep.",PRK,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Low income,2002,0.0
Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2002,100.0
Paraguay,PRY,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2002,91.67
West Bank and Gaza,PSE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Lower middle income,2002,99.24
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,58.27
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,99.95
French Polynesia,PYF,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2002,100.0
Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,High income,2002,100.0
Romania,ROU,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2002,100.0
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2002,100.0
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,5.93
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,59.85
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,High income,2002,100.0
Sudan,SDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,29.53
Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2002,36.8
Singapore,SGP,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2002,100.0
Solomon Islands,SLB,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2002,10.43
Sierra Leone,SLE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,9.31
El Salvador,SLV,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Lower middle income,2002,87.55
San Marino,SMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2002,100.0
Somalia,SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,7.4
Serbia,SRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2002,100.0
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,27.26
South Sudan,SSD,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,0.0
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,27.27
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,62.24
Sao Tome and Principe,STP,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2002,52.59
Suriname,SUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2002,95.29
Slovak Republic,SVK,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2002,100.0
Slovenia,SVN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2002,100.0
Sweden,SWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2002,100.0
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2002,25.81
Sint Maarten (Dutch part),SXM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2002,100.0
Seychelles,SYC,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,High income,2002,96.1
Syrian Arab Republic,SYR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Low income,2002,86.6
Turks and Caicos Islands,TCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2002,95.16
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,3.87
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,92.41
Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,99.92
Togo,TGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,21.35
Thailand,THA,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Upper middle income,2002,91.08
Tajikistan,TJK,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Lower middle income,2002,99.0
Turkmenistan,TKM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2002,99.72
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,92.53
Timor-Leste,TLS,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2002,23.96
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,91.6
Tonga,TON,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Upper middle income,2002,87.0
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,59.85
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,27.27
Trinidad and Tobago,TTO,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2002,97.12
Tunisia,TUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Lower middle income,2002,97.8
Turkiye,TUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2002,100.0
Tuvalu,TUV,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Upper middle income,2002,94.63
Tanzania,TZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2002,10.8
Uganda,UGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,7.8
Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Lower middle income,2002,100.0
Upper middle income,UMC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,96.47
Uruguay,URY,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2002,97.89
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,North America,High income,2002,100.0
Uzbekistan,UZB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Lower middle income,2002,99.7
St. Vincent and the Grenadines,VCT,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2002,82.47
"Venezuela, RB",VEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,,2002,99.8
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2002,97.63
Virgin Islands (U.S.),VIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2002,100.0
Vietnam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2002,89.1
Vanuatu,VUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2002,25.74
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2002,79.34
Samoa,WSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2002,89.3
Kosovo,XKX,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2002,0.0
"Yemen, Rep.",YEM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Low income,2002,51.49
South Africa,ZAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Upper middle income,2002,76.7
Zambia,ZMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2002,17.4
Zimbabwe,ZWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2002,34.2
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,100.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,22.47
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia,Low income,2003,14.74
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,39.88
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,27.41
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,100.0
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,82.51
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,High income,2003,100.0
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,96.44
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,99.19
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Upper middle income,2003,0.0
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,97.96
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2003,100.0
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,98.93
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,3.45
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,24.35
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,11.4
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia,Lower middle income,2003,40.66
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,100.0
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,High income,2003,100.0
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,100.0
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,100.0
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,100.0
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,81.86
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,North America,High income,2003,100.0
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Lower middle income,2003,72.3
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,96.98
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,100.0
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2003,100.0
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia,Lower middle income,2003,41.1
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Upper middle income,2003,33.08
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,6.61
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,North America,High income,2003,100.0
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,100.0
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,98.78
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Upper middle income,2003,97.75
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,51.57
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,45.12
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,8.51
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,31.99
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,95.13
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,46.6
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,63.62
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,98.7
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,89.38
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,96.51
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,100.0
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,100.0
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Czech Republic,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Lower middle income,2003,56.32
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,84.91
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,89.17
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Lower middle income,2003,98.93
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,92.63
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,70.03
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,93.39
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,99.93
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,99.97
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,94.97
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Lower middle income,2003,98.8
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,100.0
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,32.53
Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,13.54
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,100.0
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,43.25
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Upper middle income,2003,80.0
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Faroe Islands,FRO,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
"Micronesia, Fed. Sts.",FSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2003,51.86
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Upper middle income,2003,78.54
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,100.0
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,48.3
Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,18.98
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,27.8
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,2.59
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Upper middle income,2003,65.57
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,87.01
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,78.51
Guam,GUM,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2003,100.0
Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,76.25
High income,HIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,99.94
"Hong Kong SAR, China",HKG,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2003,100.0
Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Lower middle income,2003,65.09
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,20.78
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Lower middle income,2003,31.6
Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,86.41
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,76.04
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,38.79
IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,57.75
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2003,87.94
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,29.15
Isle of Man,IMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia,Lower middle income,2003,64.05
Not classified,INX,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,0.0
Ireland,IRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Lower middle income,2003,98.33
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Upper middle income,2003,97.32
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,High income,2003,100.0
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,86.61
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Upper middle income,2003,99.05
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2003,100.0
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,99.92
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,16.0
Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Lower middle income,2003,99.5
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2003,19.3
Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2003,60.49
St. Kitts and Nevis,KNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,96.05
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2003,100.0
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,High income,2003,100.0
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,92.31
Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Lower middle income,2003,48.0
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Lower middle income,2003,99.32
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,0.0
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Upper middle income,2003,93.69
St. Lucia,LCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,90.83
Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,92.75
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,24.4
Low income,LIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,18.71
Liechtenstein,LIE,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Sri Lanka,LKA,Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia,Lower middle income,2003,75.0
Lower middle income,LMC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,66.36
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,75.61
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Lower middle income,2003,5.47
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,96.88
Lithuania,LTU,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
"Macao SAR, China",MAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,High income,2003,100.0
St. Martin (French part),MAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,High income,2003,100.0
Morocco,MAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,Lower middle income,2003,74.89
Monaco,MCO,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,High income,2003,100.0
Moldova,MDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,100.0
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,20.3
Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia,Upper middle income,2003,89.22
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,93.48
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,Upper middle income,2003,97.4
Marshall Islands,MHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,Upper middle income,2003,72.92
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,2003,80.37
North Macedonia,MKD,Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,Upper middle income,2003,100.0
Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,Low income,2003,14.78
Malta,MLT,Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,High income,2003,100.0
